Rank,Coin,Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %
1,Bitcoin,BTC,1903,1.0575,2.0556,-30.0,18.3652
2,Ethereum,ETH,1895,0.9872,2.3623,-37.5,21.0447
3,XRP,XRP,1873,1.206,2.8538,-52.5712,23.9981
4,Tether USDt,USDT,62,-4.1909,13.1893,-81.6104,0.5
5,Solana,SOL,1515,0.2826,7.0275,-250.0,10.735
6,BNB,BNB,1892,-0.0214,4.3003,-48.145,47.074
7,Dogecoin,DOGE,1727,1.2122,2.907,-65.8932,37.8903
8,USDC,USDC,958,0.0453,0.7447,-2.7637,2.03
9,Cardano,ADA,1887,1.0926,2.6748,-45.4562,29.3144
10,TRON,TRX,1875,0.212,3.3548,-71.2085,25.4584
11,Avalanche,AVAX,1432,0.5798,1.9509,-35.1029,11.0103
12,Sui,SUI,907,0.5692,1.7787,-13.2376,11.338
13,Chainlink,LINK,1894,0.974,2.8442,-80.2647,29.1836
14,Toncoin,TON,604,0.4187,1.6337,-8.4639,15.0693
15,Shiba Inu,SHIB,1631,0.5695,4.6192,-75.0,18.6614
16,Stellar,XLM,1654,0.7076,2.6746,-90.0,21.9712
17,Polkadot,DOT,1888,0.9833,2.9901,-56.9891,31.4425
18,Hedera,HBAR,1684,0.8634,3.5848,-75.0,31.9956
19,Bitcoin Cash,BCH,1866,0.3986,2.6242,-49.1407,18.512
20,Uniswap,UNI,1657,0.9602,2.4889,-81.1538,21.7176
21,Litecoin,LTC,1874,1.0647,2.5365,-60.6737,19.6102
22,Pepe,PEPE,907,0.7196,5.8906,-150.0,23.5089
24,Hyperliquid,HYPE,149,0.7109,0.818,-2.0558,3.953
26,NEAR Protocol,NEAR,1411,0.8559,1.7618,-31.0316,23.5183
28,Internet Computer,ICP,1521,0.8888,2.9944,-75.0,14.6387
29,Aptos,APT,1097,0.8245,1.9857,-29.2848,11.3173
30,Dai,DAI,308,0.095,0.0535,0.0,0.125
31,Aave,AAVE,1397,0.8271,1.0732,-12.5008,7.0628
32,Mantle,MNT,755,0.4827,1.6032,-8.9599,10.546
33,POL (ex-MATIC),POL,408,0.2321,0.798,-7.4757,3.2194
34,Render,RENDER,457,0.3293,0.7383,-5.8166,3.1866
35,Ethereum Classic,ETC,1873,0.8333,2.5731,-41.3932,22.5131
37,Bittensor,TAO,563,0.3334,0.8975,-9.213,4.2384
38,VeChain,VET,2081,1.6784,4.3755,-75.0,45.843
39,Virtuals Protocol,VIRTUAL,320,0.1587,1.6547,-8.1714,10.8112
40,Artificial Superintelligence Alliance,FET,1013,0.92,1.9784,-11.2372,14.6803
41,Arbitrum,ARB,948,1.0038,1.3411,-2.3108,11.2665
42,Ethena,ENA,572,-1.0273,3.9577,-60.1292,3.1718
43,MANTRA,OM,621,-1.3315,11.569,-200.0,7.8782
44,Monero,XMR,2105,1.095,3.9994,-48.75,42.6181
45,Filecoin,FIL,1829,0.9561,5.1873,-120.0,28.3403
46,Algorand,ALGO,1321,0.8389,1.1202,-10.4261,7.0269
47,Kaspa,KAS,709,1.0332,1.8382,-5.8806,15.0161
48,OKB,OKB,45,0.8881,1.3378,0.5,6.7854
49,Cosmos,ATOM,1403,0.3821,2.0246,-43.3824,8.2437
50,Optimism,OP,1185,0.9985,1.3309,-17.4484,8.746
