symbol,weight
USDT0/USDC,0.8075764603888448
XAUT0/USDT0,0.02583594545271156
PAXG/USDC:USDC,0.022652368828811057
XAUT0/USDC,0.022637898422398526
UBTC/USDC,0.01026634908925459
BTC/USDC:USDC,0.0101919146132953
BCH/USDC:USDC,0.006543821591260433
SKY/USDC:USDC,0.005591979400845304
BNB/USDC:USDC,0.004491857464825605
SOL/USDC:USDC,0.004350795355276794
POL/USDC:USDC,0.004133344842955727
LTC/USDC:USDC,0.0041097737142811236
HYPE/USDC,0.0039550043380013715
HYPE/USDC:USDC,0.003926765404424864
DOGE/USDC:USDC,0.003653131963584836
ENA/USDC:USDC,0.0032405885503260148
AVAX/USDC:USDC,0.0031662453008577257
ZEN/USDC:USDC,0.0031573237601385702
WLD/USDC:USDC,0.0031468141678064206
PYTH/USDC:USDC,0.002976540711748906
ETHFI/USDC:USDC,0.00271304946531122
MAV/USDC:USDC,0.002654446836968191
LINEA/USDC:USDC,0.0025308378422261423
IMX/USDC:USDC,0.002413470312712163
MERL/USDC:USDC,0.0023979090178006994
ACE/USDC:USDC,0.0023797242087229818
YGG/USDC:USDC,0.0023404826365219316
WMNT/USDC,0.002286205377623452
CELO/USDC:USDC,0.002249849735887641
W/USDC:USDC,0.002230703257548135
DYDX/USDC:USDC,0.002182739482931329
CAKE/USDC:USDC,0.0021782138522916518
EIGEN/USDC:USDC,0.002133984038978001
MNT/USDC:USDC,0.0020849353496315863
ZEC/USDC:USDC,0.001669637084670183
DOOD/USDC:USDC,0.0015937731869675466
IP/USDC:USDC,0.0015310094601683271
HEMI/USDC:USDC,0.0015085283436170648
AVNT/USDC:USDC,0.001416863756463284
SNX/USDC:USDC,0.0014024684767724158
RUB/USDC,0.0011114403495803063
PUP/USDC,0.0009131295142050511
NOCEX/USDC,0.00047167505075124735
