date,symbol,high,rolling_200d_high,days_since_200d_high
2025-10-16,PAXG/USDC:USDC,4844.1,4844.1,0
2025-10-16,XAUT0/USDT0,4356.1,4356.1,0
2025-10-16,YGG/USDC:USDC,0.17,0.29588,1
2025-10-16,XAUT0/USDC,4405.1,4457.0,1
2025-10-16,BNB/USDC:USDC,1195.4,1375.0,3
2025-10-16,SNX/USDC:USDC,1.731,2.5771,3
2025-10-16,NOCEX/USDC,7.627,15.877,3
2025-10-16,ZEC/USDC:USDC,245.81,299.27,5
2025-10-16,MERL/USDC:USDC,0.34644,0.40843,5
2025-10-16,LTC/USDC:USDC,96.823,136.05,6
2025-10-16,ZEN/USDC:USDC,12.922,17.399,6
2025-10-16,MET/USDC:USDC,1.4173,2.4,6
2025-10-16,MNT/USDC:USDC,1.914,2.9023,7
2025-10-16,MON/USDC:USDC,0.066659,0.6,8
2025-10-16,CAKE/USDC:USDC,3.1409,4.6149,8
2025-10-16,UETH/USDH,4081.5,4760.5,9
2025-10-16,DOOD/USDC:USDC,0.007662,0.017141,9
2025-10-16,W/USDC:USDC,0.08132,0.14642,9
2025-10-16,CELO/USDC:USDC,0.29081,0.49325,10
2025-10-16,EIGEN/USDC:USDC,1.2881,2.1681,10
2025-10-16,UBTC/USDC,111992.0,126400.0,10
2025-10-16,BTC/USDC:USDC,112038.0,126297.0,10
2025-10-16,HYPE/USDH,39.502,51.401,11
2025-10-16,ETHFI/USDC:USDC,1.1999,1.9382,12
2025-10-16,2Z/USDC:USDC,0.27322,0.88482,14
2025-10-16,APEX/USDC:USDC,1.1148,2.795,19
2025-10-16,UXPL/USDC,0.50948,4.0,21
2025-10-16,HEMI/USDC:USDC,0.066769,0.19483,22
2025-10-16,ASTER/USDC:USDC,1.3648,2.4363,22
2025-10-16,STBL/USDC:USDC,0.13914,0.61138,22
2025-10-16,USDH/USDC,1.0,1.001,22
2025-10-16,0G/USDC:USDC,2.0863,7.0744,23
2025-10-16,AVAX/USDC:USDC,22.368,36.189,23
2025-10-16,AVNT/USDC:USDC,0.60949,2.669,24
2025-10-16,USDT0/USDC,1.0014,1.0525,24
2025-10-16,DYDX/USDC:USDC,0.36324,0.76507,25
2025-10-16,IP/USDC:USDC,6.4736,14.95,25
2025-10-16,IMX/USDC:USDC,0.55849,0.96769,27
2025-10-16,HYPE/USDC:USDC,39.49,59.472,28
2025-10-16,HYPE/USDC,39.541,59.406,28
2025-10-16,BCH/USDC:USDC,529.05,650.77,28
2025-10-16,SOL/USDC:USDC,198.21,253.6,28
2025-10-16,SKY/USDC:USDC,0.060493,0.082255,29
2025-10-16,PUP/USDC,0.04499,0.194,29
2025-10-16,RUB/USDC,9547244.0,19750000.0,29
2025-10-16,DOGE/USDC:USDC,0.20132,0.30693,33
2025-10-16,ACE/USDC:USDC,0.3305,0.9495,35
2025-10-16,ENA/USDC:USDC,0.4444,0.87359,37
2025-10-16,WLD/USDC:USDC,0.95854,2.2128,37
2025-10-16,WMNT/USDC,1.8909,6.0,38
2025-10-16,POL/USDC:USDC,0.19885,0.29653,43
2025-10-16,MAV/USDC:USDC,0.044505,0.084367,44
2025-10-16,LINEA/USDC:USDC,0.019793,0.059604,45
2025-10-16,PYTH/USDC:USDC,0.1223,0.24597,48
